1;Wloch
2;San Marino
3;Hiszpanii
4;#Hiszpania
5;Malaga
6;Málaga
7;#Szwajcaria
8;Szwajcarii
9;#Austria
10;Japonia
11;Nowy Jork
12;#USA
13;#Japonia
14;#Tajlandia
15;Tajlandii
16;#Iran
17;Iranu
18;Iranie
19;#Szwecja
20;#WielkaBrytania
21;Turcja
22;#Holandia
23;Wloszech
24;#Francja
25;#Irlandia
26;Francja
27;#Iran.ie
28;#Gwatemala
29;Gwatemali
30;Nowej Zelandii
31;#Meksyk
32;#Rosja
33;#Chiny
34;#Finlandia
35;Tokio
36;#Maroko
37;#Malezja
38;@realDonaldTrump
39;#NowyJork
40;#KoreaPoludniowa
41;#Indie
42;#NowaZelandia
43;#Rumunia
44;#Anglia
45;Ksiestwa Lancaster
46;@BorisJohnson
47;#Niemcy
48;#Filipiny
49;Filipinach
50;#Indonezja
51;#WybrzezeKosciSloniowej
52;Wielkiej Brytanii
53;#Merkel
54;#Grecja
55;#Singapur
56;Niemiecki
57;Wloszech
58;NATO
59;#Liverpool
60;Francji
61;Niemczech
62;wloskiej
63;francuski
64;Ukrainskie
65;Rosje
66;Wlochy
67;Unie Europejska
68;Portugalia
69;Korei
70;Afryce
71;Izrael
72;Holenderscy
73;belgijscy
74;Chinach
75;Austria
76;#Bergamo
77;#Trump
78;Europa
79;Unie Europejska
80;Unia Europejska
81;#UniaEuropejska
82;Rosyjski
83;USA
84;Amerykanie
85;#Swiat
86;Niemieccy
87;@BorisJohnson
88;#Jerozolima
89;#Johnson
90;#FunduszeEuropejskie
91;#FunduszeUE
92;#Reims
93;#Belgia
94;#Czechy
95;Chinscy
96;Wuhan
97;#Wuhan
98;#chinskazaraza
99;chinskim
100;wloskim
